capa,cabeza,bits,ratio_q2,veredicto
10,1,8,1.0148211627814807,cerca
10,2,4,1.0228478796180276,cerca
10,2,8,1.0289556946907565,cerca
10,3,4,1.0178838952576728,cerca
10,3,8,1.0191307533836673,cerca
10,4,4,1.0288523914411802,cerca
10,4,8,1.0304585378585982,cerca
10,5,4,1.0125751605426814,cerca
10,5,8,1.0142722954012358,cerca
10,6,4,1.0130712546715972,cerca
10,6,8,1.0135265509931743,cerca
10,7,4,1.027365491753501,cerca
10,7,8,1.0278599372151154,cerca
10,8,4,1.0204239482276345,cerca
10,8,8,1.0168311759480766,cerca
10,9,4,1.0326352321873848,cerca
10,9,8,1.0323001363240751,cerca
10,10,4,1.0086189561752141,cerca
10,10,8,1.0134858590159672,cerca
10,11,4,1.0074322123828054,cerca
10,11,8,1.010979957527462,cerca
10,12,4,1.0397999285730417,cerca
10,12,8,1.035401341265635,cerca
10,13,4,1.0188711418061756,cerca
10,13,8,1.013966703150779,cerca
10,14,4,1.020673499351545,cerca
10,14,8,1.0172564488675324,cerca
10,15,4,1.0217530070605076,cerca
10,15,8,1.0216425104898004,cerca
11,0,4,1.0066568113595884,cerca
11,0,8,1.0090806821353142,cerca
11,1,4,1.026990390803007,cerca
11,1,8,1.024929060164613,cerca
11,2,4,1.0111524387360769,cerca
11,2,8,1.0152760471193636,cerca
11,3,4,1.0261839813316354,cerca
11,3,8,1.0245588962991636,cerca
11,4,4,1.025776046524409,cerca
11,4,8,1.0228723645041593,cerca
11,5,4,1.0298011615295275,cerca
11,5,8,1.0269163572620856,cerca
11,6,4,1.0171233710938583,cerca
11,6,8,1.0161827249076694,cerca
11,7,4,1.0191032534283908,cerca
11,7,8,1.02036856716951,cerca
11,8,4,1.0125457201962844,cerca
11,8,8,1.0116558214117692,cerca
11,9,4,1.0132657752874747,cerca
11,9,8,1.0106156140844187,cerca
11,10,4,1.01930522848225,cerca
11,10,8,1.0190780846223408,cerca
11,11,4,1.0217461044881506,cerca
11,11,8,1.0196341989932052,cerca
11,12,4,1.020133329183802,cerca
11,12,8,1.0184368732363402,cerca
11,13,4,1.0188345518132103,cerca
11,13,8,1.0204221913152358,cerca
11,14,4,1.0168649859392458,cerca
11,14,8,1.0186962445452656,cerca
11,15,4,1.0144745146233485,cerca
11,15,8,1.015578487378316,cerca
12,0,4,1.010051331622055,cerca
12,0,8,1.0107491921173362,cerca
12,1,4,1.0226804350163372,cerca
12,1,8,1.0212512746293725,cerca
12,2,4,1.033814923470869,cerca
12,2,8,1.0299316559800784,cerca
12,3,4,1.0139673197649381,cerca
12,3,8,1.0098378248064044,cerca
12,4,4,1.0058101410850309,cerca
12,4,8,1.0064203924977424,cerca
12,5,4,0.9975980064248288,cerca
12,5,8,1.0054704949322733,cerca
12,6,4,1.0242250047801296,cerca
12,6,8,1.0290987131182612,cerca
12,7,4,1.0121696518030925,cerca
12,7,8,1.011539128133096,cerca
12,8,4,1.0194913544252853,cerca
12,8,8,1.0179412037388134,cerca
12,9,4,1.0101608308992616,cerca
12,9,8,1.0112763177281654,cerca
12,10,4,0.9956171324367686,cerca
12,10,8,0.9961663645629689,cerca
12,11,4,1.0138666373039622,cerca
12,11,8,1.0165213581704566,cerca
12,12,4,1.0286375926832036,cerca
12,12,8,1.0361083810933274,cerca
12,13,4,1.0125965775985455,cerca
12,13,8,1.0146594762457122,cerca
12,14,4,1.0085778527130007,cerca
12,14,8,1.01306134697095,cerca
12,15,4,1.0305330771298373,cerca
12,15,8,1.032074796207278,cerca
13,0,4,1.0155120576678225,cerca
13,0,8,1.017835282344068,cerca
13,1,4,1.0241445491879426,cerca
13,1,8,1.0231537073542412,cerca
13,2,4,1.0274978852005014,cerca
13,2,8,1.0273574891145856,cerca
13,3,4,1.0174552154592653,cerca
13,3,8,1.0154132885556166,cerca
13,4,4,1.0063411547250263,cerca
13,4,8,1.0043659888870788,cerca
13,5,4,1.030638056326016,cerca
13,5,8,1.02914387714055,cerca
13,6,4,1.0126046756610523,cerca
13,6,8,1.0126107318761242,cerca
13,7,4,1.0159907273928068,cerca
13,7,8,1.0169108889459575,cerca
13,8,4,0.9996531668745408,cerca
13,8,8,0.9999177475691837,cerca
13,9,4,1.002868985678116,cerca
13,9,8,1.0012632272883517,cerca
13,10,4,1.0133749463908985,cerca
13,10,8,1.0133131776941071,cerca
13,11,4,1.0317410969501395,cerca
13,11,8,1.030017176804591,cerca
13,12,4,1.0181210540775243,cerca
13,12,8,1.0192260079979292,cerca
13,13,4,1.0307163987686692,cerca
13,13,8,1.0332231578732654,cerca
13,14,4,1.0299411100004325,cerca
13,14,8,1.0323417666705659,cerca
13,15,4,1.0151577207576794,cerca
13,15,8,1.0176031752833576,cerca
14,0,4,1.0409694942787964,cerca
14,0,8,1.041448108553833,cerca
14,1,4,1.0248884306062482,cerca
14,1,8,1.0189624116856093,cerca
14,2,4,1.007615719021575,cerca
14,2,8,1.0041077040696726,cerca
14,3,4,0.9932595778651698,cerca
14,3,8,1.000184286331012,cerca
14,4,4,1.0344534689184932,cerca
14,4,8,1.0341078840513316,cerca
14,5,4,1.0221660290244652,cerca
14,5,8,1.0164808404974461,cerca
14,6,4,1.0129050934861452,cerca
14,6,8,1.0168155172545636,cerca
14,7,4,1.0158035839653379,cerca
14,7,8,1.0159710782002866,cerca
14,8,4,0.9812913552704113,cerca
14,8,8,0.9842299703477475,cerca
14,9,4,1.014887833664994,cerca
14,9,8,1.0183561388230702,cerca
14,10,4,1.0314223682926484,cerca
14,10,8,1.028289058434722,cerca
14,11,4,1.023628836061079,cerca
14,11,8,1.0238339680767359,cerca
14,12,4,1.0434468107709411,cerca
14,12,8,1.0471810406425783,cerca
14,13,4,1.0252767425308544,cerca
14,13,8,1.0202378668226346,cerca
14,14,4,1.0205020059682641,cerca
14,14,8,1.0223467496653786,cerca
14,15,4,1.0174699000097025,cerca
14,15,8,1.0221825705209329,cerca
15,0,4,1.0111537801645776,cerca
15,0,8,1.013000317246528,cerca
15,1,4,1.0290762440065555,cerca
15,1,8,1.0281289730082694,cerca
15,2,4,1.0298299086556573,cerca
15,2,8,1.0347270012649052,cerca
15,3,4,1.016176642300602,cerca
15,3,8,1.0183270232572115,cerca
15,4,4,1.0160990210012253,cerca
15,4,8,1.0173100704430316,cerca
15,5,4,1.0147095301766087,cerca
15,5,8,1.0146630785778665,cerca
15,6,4,1.0122285042358306,cerca
15,6,8,1.0159412223323165,cerca
15,7,4,1.0280137208906173,cerca
15,7,8,1.0303538012966063,cerca
15,8,4,1.0247655234794169,cerca
15,8,8,1.0260613833074619,cerca
15,9,4,1.0135842683454424,cerca
15,9,8,1.0140336645416794,cerca
15,10,4,1.0272568772677846,cerca
15,10,8,1.023123697002414,cerca
15,11,4,1.0153025946563932,cerca
15,11,8,1.0149100746822795,cerca
15,12,4,1.013079503153997,cerca
15,12,8,1.0116757664775373,cerca
15,13,4,1.02106271235718,cerca
15,13,8,1.021712209264105,cerca
15,14,4,1.0200575467124178,cerca
15,14,8,1.0180065157405853,cerca
15,15,4,1.0165104678419488,cerca
15,15,8,1.0196776879122142,cerca
16,0,4,1.0252162241034066,cerca
16,0,8,1.0258413157913562,cerca
16,1,4,1.0018177902597953,cerca
16,1,8,0.9984369535966551,cerca
16,2,4,1.0125559760437794,cerca
16,2,8,1.0135851333794481,cerca
16,3,4,1.0042086849230099,cerca
16,3,8,1.0023353138682907,cerca
16,4,4,1.0211684828906797,cerca
16,4,8,1.0194181876338668,cerca
16,5,4,1.031939860875109,cerca
16,5,8,1.0324729748736103,cerca
16,6,4,1.02722554191275,cerca
16,6,8,1.026509966557089,cerca
16,7,4,1.0298155669118867,cerca
16,7,8,1.0286217373104793,cerca
16,8,4,1.0335637723205175,cerca
16,8,8,1.0308380066178968,cerca
16,9,4,1.0322024729072605,cerca
16,9,8,1.0267130972802478,cerca
16,10,4,1.0033836209466482,cerca
16,10,8,1.0053123456190711,cerca
16,11,4,1.0205845505346405,cerca
16,11,8,1.024815686546742,cerca
16,12,4,1.0224674559077662,cerca
16,12,8,1.0209048948438681,cerca
16,13,4,1.0106615250919908,cerca
16,13,8,1.0117261385479501,cerca
16,14,4,1.0170375576755952,cerca
16,14,8,1.0163850346241485,cerca
16,15,4,1.0169008707722855,cerca
16,15,8,1.0153314468746282,cerca
17,0,4,1.032560640707807,cerca
17,0,8,1.0288613898856105,cerca
17,1,4,1.0155109193171465,cerca
17,1,8,1.0167512415561468,cerca
17,2,4,1.0162972005877067,cerca
17,2,8,1.017633329506412,cerca
17,3,4,1.0107572058130594,cerca
17,3,8,1.0101668449579602,cerca
17,4,4,1.0240225672423173,cerca
17,4,8,1.0243679241028625,cerca
17,5,4,1.021600229642038,cerca
17,5,8,1.0227903093253718,cerca
17,6,4,1.0207092818194043,cerca
17,6,8,1.018312879563,cerca
17,7,4,1.0311127397972413,cerca
17,7,8,1.032337134075703,cerca
17,8,4,1.026397329733301,cerca
17,8,8,1.0324573812841848,cerca
17,9,4,1.017406278558952,cerca
17,9,8,1.0152234276645036,cerca
17,10,4,1.0246927439571594,cerca
17,10,8,1.0266688270867943,cerca
17,11,4,1.0100667193945796,cerca
17,11,8,1.0093024578518046,cerca
17,12,4,1.0159756319086066,cerca
17,12,8,1.0144077653480148,cerca
17,13,4,1.0096359419285645,cerca
17,13,8,1.011477371727144,cerca
17,14,4,1.0064432194109252,cerca
17,14,8,1.0074603305017837,cerca
17,15,4,1.0205065832573612,cerca
17,15,8,1.0213998085644218,cerca
18,0,4,1.0178206873643538,cerca
18,0,8,1.0135414591860263,cerca
18,1,4,1.027870337874964,cerca
18,1,8,1.0237641111729374,cerca
18,2,4,1.0268959645389508,cerca
18,2,8,1.027625808662879,cerca
18,3,4,1.003809905227099,cerca
18,3,8,1.0077253914845472,cerca
18,4,4,1.02898421950815,cerca
18,4,8,1.026563083775138,cerca
18,5,4,1.0207565814111408,cerca
18,5,8,1.0143853899415503,cerca
18,6,4,1.0185191997840086,cerca
18,6,8,1.0223943534436608,cerca
18,7,4,1.0348816668011867,cerca
18,7,8,1.0361034212785307,cerca
18,8,4,0.999763900413467,cerca
18,8,8,1.0004965747310042,cerca
18,9,4,1.0037015152496684,cerca
18,9,8,1.0082808524809184,cerca
18,10,4,1.015673127648703,cerca
18,10,8,1.0116749974253896,cerca
18,11,4,1.0135616683115047,cerca
18,11,8,1.0105192857788454,cerca
18,12,4,1.0210244215277677,cerca
18,12,8,1.0225326033326951,cerca
18,13,4,1.0079903672847568,cerca
18,13,8,1.0020475513926348,cerca
18,14,4,1.0258910314015897,cerca
18,14,8,1.025966017889757,cerca
18,15,4,1.0305662927451116,cerca
18,15,8,1.0299506554932432,cerca
19,0,4,1.0159059366251393,cerca
19,0,8,1.016812301510166,cerca
19,1,4,1.0116362023721857,cerca
19,1,8,1.0113356666651887,cerca
19,2,4,1.01644315362985,cerca
19,2,8,1.011166924369285,cerca
19,3,4,1.0182295394259595,cerca
19,3,8,1.0166158976773674,cerca
19,4,4,1.0146180827835551,cerca
19,4,8,1.0145259869551242,cerca
19,5,4,1.0187172938356268,cerca
19,5,8,1.0177107041587485,cerca
19,6,4,1.0236407452233238,cerca
19,6,8,1.0199230442855127,cerca
19,7,4,1.0229571941512574,cerca
19,7,8,1.0278887960456031,cerca
19,8,4,1.0155080163915853,cerca
19,8,8,1.0128048771242217,cerca
19,9,4,1.024236437606128,cerca
19,9,8,1.0227734502192347,cerca
19,10,4,1.0063751415534323,cerca
19,10,8,1.0028095161003092,cerca
19,11,4,1.0323602837627979,cerca
19,11,8,1.0346648169194006,cerca
19,12,4,1.0104639387389964,cerca
19,12,8,1.00867243443784,cerca
19,13,4,1.0280098876090138,cerca
19,13,8,1.0277880841624756,cerca
19,14,4,1.0046543909874044,cerca
19,14,8,1.0075185225266141,cerca
19,15,4,1.0241849771676583,cerca
19,15,8,1.025409520093575,cerca
